"p1","p2","days","inst1_1","inst1_2","inst2_1","inst2_2","inst3_1","inst3_2","inst4_1","inst4_2","inst5_1","inst5_2"
"charge {a0} in {a1}","charge {a0} while in {a1}","19","charging <font color='#d95f02'>his iphone</font> in <font color='#7570b3'>the bath</font>","charging <font color='#d95f02'>his iphone</font> while in <font color='#7570b3'>the bath</font>","charging <font color='#d95f02'>iphone</font> in <font color='#7570b3'>the bath</font>","charging <font color='#d95f02'>his iphone</font> while in <font color='#7570b3'>the bath</font>","charging <font color='#d95f02'>iphone</font> while in <font color='#7570b3'>the bath</font>","charging <font color='#d95f02'>his iphone</font> in <font color='#7570b3'>the bath</font>","charging <font color='#d95f02'>iphone</font> while in <font color='#7570b3'>the bath</font>","charging <font color='#d95f02'>iphone</font> in <font color='#7570b3'>the bath fox news</font>","charging <font color='#d95f02'>his iphone</font> in <font color='#7570b3'>the bath</font>","charging <font color='#d95f02'>iphone</font> while in <font color='#7570b3'>the bath</font>"
"{a0} ask {a1}","{a0} want {a1}","18","<font color='#d95f02'>news pakistan</font> asks <font color='#7570b3'>facebook</font>","<font color='#d95f02'>pakistan</font> wants <font color='#7570b3'>facebook</font>","<font color='#d95f02'>pakistan</font> wants <font color='#7570b3'>facebook</font>","<font color='#d95f02'>bbc - pakistan</font> asks <font color='#7570b3'>facebook</font>","<font color='#d95f02'>freedomofspeech - pakistan</font> asks <font color='#7570b3'>facebook</font>","<font color='#d95f02'>pakistan</font> wants <font color='#7570b3'>facebook</font>","<font color='#d95f02'>pakistan</font> wants <font color='#7570b3'>facebook</font>","<font color='#d95f02'>pakistan</font> asks <font color='#7570b3'>facebook</font>","<font color='#d95f02'>pakistan</font> wants <font color='#7570b3'>facebook</font>","<font color='#d95f02'>bbc pakistan</font> asks <font color='#7570b3'>facebook</font>"
"{a0} arrest on {a1}","{a0} surrender on {a1}","16","<font color='#d95f02'>oklahoma lawmaker</font> surrenders on <font color='#7570b3'>child prostitution</font>","<font color='#d95f02'>gop oklahoma lawmaker</font> arrested on <font color='#7570b3'>child prostitution charges</font>","<font color='#d95f02'>oklahoma lawmaker</font> arrested on <font color='#7570b3'>child prostitution charges</font>","<font color='#d95f02'>lawmaker</font> surrenders on <font color='#7570b3'>child prostitution charges</font>","<font color='#d95f02'>republican oklahoma lawmaker</font> surrenders on <font color='#7570b3'>child prostitution charges</font>","<font color='#d95f02'>oklahoma lawmaker</font> arrested on <font color='#7570b3'>child prostitution charges</font>","<font color='#d95f02'>republican oklahoma lawmaker</font> surrenders on <font color='#7570b3'>child prostitution charges</font>","<font color='#d95f02'>conservative republican oklahoma lawmaker</font> arrested on <font color='#7570b3'>child prostitution charges</font>","<font color='#d95f02'>gop oklahoma lawmaker</font> arrested on <font color='#7570b3'>child prostitution charges</font>","<font color='#d95f02'>lawmaker</font> surrenders on <font color='#7570b3'>child prostitution charges</font>"
"{a0} die at {a1}","{a0} have pass at {a1}","20","<font color='#d95f02'>chuck berry</font> has passed at <font color='#7570b3'>90</font>","<font color='#d95f02'>chuckberry</font> dies at <font color='#7570b3'>90 a pioneering legend</font>","<font color='#d95f02'>chuck berry</font> dies at <font color='#7570b3'>90 nytimes</font>","<font color='#d95f02'>chuck berry</font> has passed at <font color='#7570b3'>90</font>","<font color='#d95f02'>com chuck berry</font> dies at <font color='#7570b3'>90</font>","<font color='#d95f02'>chuck berry</font> has passed at <font color='#7570b3'>90</font>","<font color='#d95f02'>chuck berry</font> dies at <font color='#7570b3'>90 godspeed</font>","<font color='#d95f02'>chuck berry</font> has passed at <font color='#7570b3'>90</font>","<font color='#d95f02'>chuck berry</font> has passed at <font color='#7570b3'>90</font>","<font color='#d95f02'>' roll legend chuck berry</font> dies at <font color='#7570b3'>90</font>"
"{a0} find {a1}","{a0} see {a1}","16","<font color='#d95f02'>senate intel committee</font> see <font color='#7570b3'>no evidence</font>","<font color='#d95f02'>intel committee</font> finds <font color='#7570b3'>no evidence</font>","<font color='#d95f02'>senate committee</font> sees <font color='#7570b3'>''no indications</font>","<font color='#d95f02'>senate committee</font> finds <font color='#7570b3'>no indications</font>","<font color='#d95f02'>senate intel committee</font> see <font color='#7570b3'>no evidence</font>","<font color='#d95f02'>intel committee</font> finds <font color='#7570b3'>no evidence</font>","<font color='#d95f02'>senate committee</font> finds <font color='#7570b3'>''no indications</font>","<font color='#d95f02'>senate committee</font> sees <font color='#7570b3'>''no indications</font>","<font color='#d95f02'>senate</font> sees <font color='#7570b3'>no evidence</font>","<font color='#d95f02'>telegraphnews senate</font> find <font color='#7570b3'>no evidence</font>"
"{a0} do not owe {a1}","{a0} owe {a1}","21","<font color='#d95f02'>germany</font> doesn't owe <font color='#7570b3'>america 'vast sums</font>","<font color='#d95f02'>germany</font> owes <font color='#7570b3'>sums</font>","<font color='#d95f02'>germany</font> doesn't owe <font color='#7570b3'>''vast sums</font>","<font color='#d95f02'>germany</font> owes <font color='#7570b3'>vast sums</font>","<font color='#d95f02'>germany</font> owes <font color='#7570b3'>nato vast sums</font>","<font color='#d95f02'>germany</font> doesn't owe <font color='#7570b3'>vast sums</font>","<font color='#d95f02'>germany</font> owes <font color='#7570b3'>'vast sums</font>","<font color='#d95f02'>germany</font> doesn't owe <font color='#7570b3'>vast sums</font>","<font color='#d95f02'>germany</font> doesn't owe <font color='#7570b3'>vast sums</font>","<font color='#d95f02'>germany</font> owes <font color='#7570b3'>vast sums</font>"
"{a0} install {a1}","{a0} put {a1}","20","<font color='#d95f02'>thingsthatarenotnormal white house</font> installs <font color='#7570b3'>political aides</font>","<font color='#d95f02'>white house</font> puts <font color='#7570b3'>political aides</font>","<font color='#d95f02'>white house</font> puts <font color='#7570b3'>political aides</font>","<font color='#d95f02'>communism/fascism white house</font> installs <font color='#7570b3'>political aides</font>","<font color='#d95f02'>white house</font> puts <font color='#7570b3'>political aides</font>","<font color='#d95f02'>com white house</font> installs <font color='#7570b3'>political aides</font>","<font color='#d95f02'>unfit white house</font> installs <font color='#7570b3'>political aides</font>","<font color='#d95f02'>white house</font> puts <font color='#7570b3'>political aides</font>","<font color='#d95f02'>white house</font> puts <font color='#7570b3'>political aides</font>","<font color='#d95f02'>shadowgovernment white house</font> installs <font color='#7570b3'>political aides</font>"
"{a0} hit at {a1}","{a0} reject {a1}","20","<font color='#d95f02'>germany</font> hits at <font color='#7570b3'>trump claim</font>","<font color='#d95f02'>hmm germany</font> rejects <font color='#7570b3'>trump's claim</font>","<font color='#d95f02'>rayy germany</font> rejects <font color='#7570b3'>trump's claim</font>","<font color='#d95f02'>germany</font> hits at <font color='#7570b3'>trump claim</font>","<font color='#d95f02'>germany</font> rejects <font color='#7570b3'>trump 's claim</font>","<font color='#d95f02'>germany</font> hits at <font color='#7570b3'>trump claim</font>","<font color='#d95f02'>mexico germany</font> rejects <font color='#7570b3'>trump's claim</font>","<font color='#d95f02'>germany</font> hits at <font color='#7570b3'>trump claim</font>","<font color='#d95f02'>germany</font> hits at <font color='#7570b3'>trump claim</font>","<font color='#d95f02'>cnbc germany</font> rejects <font color='#7570b3'>trump's claim</font>"
"{a0} quit after {a1}","{a0} resign after {a1}","20-21","<font color='#d95f02'>ubers president</font> quits after <font color='#7570b3'>six months</font>","<font color='#d95f02'>ubers president</font> resigns after <font color='#7570b3'>just six months</font>","<font color='#d95f02'>uber president jeff jones</font> resigns after <font color='#7570b3'>just 6 months</font>","<font color='#d95f02'>uber president</font> quits after <font color='#7570b3'>just 6 months</font>","<font color='#d95f02'>president</font> resigns after <font color='#7570b3'>just six months</font>","<font color='#d95f02'>uber's president</font> quit after <font color='#7570b3'>just six months</font>","<font color='#d95f02'>uber president</font> resigns after <font color='#7570b3'>just six months</font>","<font color='#d95f02'>ubers president</font> quits after <font color='#7570b3'>six months</font>","<font color='#d95f02'>uber president</font> resigns after <font color='#7570b3'>just six months</font>","<font color='#d95f02'>news uber president</font> quits after <font color='#7570b3'>just 6 months</font>"
"{a0} die at {a1}","{a0} have pass away at {a1}","22","<font color='#d95f02'>chuck berry</font> has passed away at <font color='#7570b3'>90</font>","<font color='#d95f02'>the legend chuck berry</font> dies at <font color='#7570b3'>90</font>","<font color='#d95f02'>chuck berry</font> dies at <font color='#7570b3'>90 - rip chuck</font>","<font color='#d95f02'>chuck berry</font> has passed away at <font color='#7570b3'>90</font>","<font color='#d95f02'>chuck berry</font> has passed away at <font color='#7570b3'>90</font>","<font color='#d95f02'>legendary guitarist chuck berry</font> dies at <font color='#7570b3'>90</font>","<font color='#d95f02'>chuck berry</font> has passed away at <font color='#7570b3'>90</font>","<font color='#d95f02'>' roll legend chuck berry</font> dies at <font color='#7570b3'>90</font>","<font color='#d95f02'>chuck berry</font> has passed away at <font color='#7570b3'>90</font>","<font color='#d95f02'>chuck berry</font> dies at <font color='#7570b3'>90 berry</font>"
"{a0} hike {a1}","{a0} raise {a1}","17-18-19","<font color='#d95f02'>the fed</font> raised <font color='#7570b3'>interest rates</font>","<font color='#d95f02'>fed</font> hikes <font color='#7570b3'>interest rates</font>","<font color='#d95f02'>the fed</font> raises <font color='#7570b3'>rates</font>","<font color='#d95f02'>the fed</font> hiked <font color='#7570b3'>interest rates</font>","<font color='#d95f02'>the fed</font> hiked <font color='#7570b3'>interest rates</font>","<font color='#d95f02'>the fed</font> raises <font color='#7570b3'>interest rate</font>","<font color='#d95f02'>fed</font> raises <font color='#7570b3'>interest rates</font>","<font color='#d95f02'>the fed</font> hiked <font color='#7570b3'>interest rates</font>","<font color='#d95f02'>the us federal reserve</font> hiked <font color='#7570b3'>rates</font>","<font color='#d95f02'>federal reserve</font> raises <font color='#7570b3'>rates</font>"
"{a0} may doom {a1}","{a0} may move {a1}","20","<font color='#d95f02'>trump</font> might doom <font color='#7570b3'>the gop health care bill</font>","<font color='#d95f02'>xrim money cnnpolitics president trump</font> may move <font color='#7570b3'>the gop health care bill</font>","<font color='#d95f02'>trump</font> might doom <font color='#7570b3'>the gop health care bill</font>","<font color='#d95f02'>president trump</font> may move <font color='#7570b3'>the gop health care bill</font>","<font color='#d95f02'>president trump</font> may move <font color='#7570b3'>the gop health care bill</font>","<font color='#d95f02'>trump</font> might doom <font color='#7570b3'>the gop health care bill</font>","<font color='#d95f02'>trump</font> might doom <font color='#7570b3'>the gop health care bill</font>","<font color='#d95f02'>cnn trump</font> may move <font color='#7570b3'>gop health care bill</font>","<font color='#d95f02'>trump</font> might doom <font color='#7570b3'>the gop health care bill</font>","<font color='#d95f02'>trump</font> may move <font color='#7570b3'>gop health</font>"
"{a0} ask {a1}","{a0} call on {a1}","18-19","<font color='#d95f02'>pakistan</font> calls on <font color='#7570b3'>facebook</font>","<font color='#d95f02'>bbc - pakistan</font> asks <font color='#7570b3'>facebook</font>","<font color='#d95f02'>pakistan</font> calls on <font color='#7570b3'>facebook</font>","<font color='#d95f02'>pakistan</font> asks <font color='#7570b3'>facebook &amp</font>","<font color='#d95f02'>erdogan</font> asks <font color='#7570b3'>turks</font>","<font color='#d95f02'>turkey's unhinged islamist president erdogan</font> calls on <font color='#7570b3'>turks</font>","<font color='#d95f02'>erdogan</font> asks <font color='#7570b3'>turks</font>","<font color='#d95f02'>erdogan</font> calls on <font color='#7570b3'>turks</font>","<font color='#d95f02'>erdogan</font> asks <font color='#7570b3'>turks</font>","<font color='#d95f02'>erdogan</font> calls on <font color='#7570b3'>turks</font>"
"{a0} cost {a1}","{a0} could cost {a1}","20-22","<font color='#d95f02'>lack</font> costs <font color='#7570b3'>maine company millions</font>","<font color='#d95f02'>lack</font> could cost <font color='#7570b3'>millions</font>","<font color='#d95f02'>lack</font> costs <font color='#7570b3'>maine co. millions</font>","<font color='#d95f02'>lack</font> could cost <font color='#7570b3'>millions</font>","<font color='#d95f02'>lack</font> costs <font color='#7570b3'>co. millions</font>","<font color='#d95f02'>lack</font> could cost <font color='#7570b3'>millions</font>","<font color='#d95f02'>lack</font> could cost <font color='#7570b3'>maine company millions</font>","<font color='#d95f02'>(nyt: lack</font> costs <font color='#7570b3'>maine company millions</font>","<font color='#d95f02'>lack</font> could cost <font color='#7570b3'>maine company millions</font>","<font color='#d95f02'>lack</font> costs <font color='#7570b3'>maine company millions</font>"
"{a0} get {a1}","{a0} have {a1}","19-21-22","<font color='#d95f02'>ivanka</font> has <font color='#7570b3'>no place</font>","<font color='#d95f02'>ivanka</font> get <font color='#7570b3'>an office</font>","<font color='#d95f02'>a petition</font> has <font color='#7570b3'>500,000</font>","<font color='#d95f02'>petition</font> gets <font color='#7570b3'>nearly 500,000 signatures - sfgate : petition</font>","<font color='#d95f02'>a petition</font> has <font color='#7570b3'>nearly 500k signatures</font>","<font color='#d95f02'>petition</font> gets <font color='#7570b3'>signatures</font>","<font color='#d95f02'>ivanka</font> get <font color='#7570b3'>an office</font>","<font color='#d95f02'>ivanka trump</font> has <font color='#7570b3'>an office</font>","<font color='#d95f02'>petition</font> gets <font color='#7570b3'>nearly 500,000 signatures trumpcare gop</font>","<font color='#d95f02'>a petition</font> has <font color='#7570b3'>nearly 500,000 signatures</font>"
"{a0} have {a1}","{a0} say {a1}","20","<font color='#d95f02'>trump</font> says <font color='#7570b3'>its time</font>","<font color='#d95f02'>trump</font> have <font color='#7570b3'>so much time</font>","<font color='#d95f02'>sears</font> says <font color='#7570b3'>substantial doubt</font>","<font color='#d95f02'>sears holdings</font> has <font color='#7570b3'>substantial doubts</font>","<font color='#d95f02'>fbi director</font> says <font color='#7570b3'>no information</font>","<font color='#d95f02'>watch: fbi director</font> has <font color='#7570b3'>information</font>","<font color='#d95f02'>fbi director comey</font> says <font color='#7570b3'>no information</font>","<font color='#d95f02'>fbi</font> has <font color='#7570b3'>'no information</font>","<font color='#d95f02'>cia</font> has <font color='#7570b3'>evidence</font>","<font color='#d95f02'>cnn msnbc nyt fakenews former cia director</font> says <font color='#7570b3'>evidence</font>"
"{a0} grant {a1}","{a0} have {a1}","16-17-18-21-22","<font color='#d95f02'>new zealand river</font> granted <font color='#7570b3'>legal rights</font>","<font color='#d95f02'>a new zealand river</font> has <font color='#7570b3'>the legal rights</font>","<font color='#d95f02'>this new zealand river</font> has <font color='#7570b3'>the same legal rights</font>","<font color='#d95f02'>new zealand river</font> granted <font color='#7570b3'>same legal rights</font>","<font color='#d95f02'>ganges</font> granted <font color='#7570b3'>same legal rights</font>","<font color='#d95f02'>ganges</font> have <font color='#7570b3'>rights</font>","<font color='#d95f02'>new zealand river</font> granted <font color='#7570b3'>same legal rights</font>","<font color='#d95f02'>this new zealand river</font> has <font color='#7570b3'>the same legal rights</font>","<font color='#d95f02'>this new zealand river</font> has <font color='#7570b3'>the same legal rights</font>","<font color='#d95f02'>new zealand river</font> granted <font color='#7570b3'>same legal rights</font>"
"{a0} slash {a1}","{a0} would cut {a1}","20","<font color='#d95f02'>trump budget</font> would cut <font color='#7570b3'>nih funding</font>","<font color='#d95f02'>trump's budget</font> slashes <font color='#7570b3'>nih funding</font>","<font color='#d95f02'>trump budget</font> slashes <font color='#7570b3'>epa</font>","<font color='#d95f02'>trump budget</font> would cut <font color='#7570b3'>epa funding</font>","<font color='#d95f02'>trump</font> would cut <font color='#7570b3'>meals</font>","<font color='#d95f02'>trump budget</font> slashes <font color='#7570b3'>meals</font>","<font color='#d95f02'>trump</font> would cut <font color='#7570b3'>funding</font>","<font color='#d95f02'>trump</font> slashes <font color='#7570b3'>funding</font>","<font color='#d95f02'>trump budget</font> slashes <font color='#7570b3'>funding</font>","<font color='#d95f02'>trumps budget</font> would cut <font color='#7570b3'>epa funding</font>"
"{a0} add {a1}","{a0} seek {a1}","16","<font color='#d95f02'>trump budget</font> adds <font color='#7570b3'>billions</font>","<font color='#d95f02'>trump</font> seeks <font color='#7570b3'>billion</font>","<font color='#d95f02'>trump budget</font> seeks <font color='#7570b3'>billion</font>","<font color='#d95f02'>trump budget cuts epa</font> adds <font color='#7570b3'>billions</font>","<font color='#d95f02'>trump budget</font> seeks <font color='#7570b3'>billion</font>","<font color='#d95f02'>trump budget cuts epa</font> adds <font color='#7570b3'>billions</font>","<font color='#d95f02'>trump budget</font> adds <font color='#7570b3'>billions</font>","<font color='#d95f02'>trump</font> seeks <font color='#7570b3'>billions</font>","<font color='#d95f02'>trump budget</font> adds <font color='#7570b3'>billions</font>","<font color='#d95f02'>trump budget</font> seeks <font color='#7570b3'>billion</font>"
"do donald {a0} {a1}","{a0} leak {a1}","16","<font color='#d95f02'>trump</font> leaked <font color='#7570b3'>his own tax return</font>","did donald <font color='#d95f02'>trump leak</font> <font color='#7570b3'>his own tax returns</font>","<font color='#d95f02'>trump</font> leaked <font color='#7570b3'>his own tax return</font>","did donald <font color='#d95f02'>trump leak</font> <font color='#7570b3'>his own tax return</font>","did donald <font color='#d95f02'>trump leak</font> <font color='#7570b3'>his own tax return</font>","<font color='#d95f02'>trump</font> leaked <font color='#7570b3'>his own tax returns</font>","did donald <font color='#d95f02'>trump leak</font> <font color='#7570b3'>his own tax return</font>","<font color='#d95f02'>trump</font> leaked <font color='#7570b3'>his own tax returns</font>","<font color='#d95f02'>trump</font> leaked <font color='#7570b3'>his own tax returns</font>","did donald <font color='#d95f02'>trump leak</font> <font color='#7570b3'>his own tax returns</font>"
"{a0} introduce {a1}","{a0} welcome {a1}","22","<font color='#d95f02'>bbcnews - sesame street</font> welcomes <font color='#7570b3'>julia</font>","<font color='#d95f02'>sesame street</font> introducing <font color='#7570b3'>julia</font>","<font color='#d95f02'>'sesame street</font> introduces <font color='#7570b3'>julia</font>","<font color='#d95f02'>sesamestreet</font> welcomes <font color='#7570b3'>julia</font>","<font color='#d95f02'>street</font> introduces <font color='#7570b3'>julia</font>","<font color='#d95f02'>great to see neurodiversity autism education starting early....sesame street</font> welcomes <font color='#7570b3'>julia</font>","<font color='#d95f02'>sesame street</font> introduces <font color='#7570b3'>muppet</font>","<font color='#d95f02'>seasme street</font> welcomes <font color='#7570b3'>its first ever autistic muppet</font>","<font color='#d95f02'>sesame street writer christine ferraro</font> welcomes <font color='#7570b3'>julia</font>","<font color='#d95f02'>sesame street</font> introduces <font color='#7570b3'>julia</font>"
